,term,score
0,khrushchev,123.68092951351846
1,soviet,88.54430181081436
2,stalin,49.191278783785755
3,communist,33.73116259459594
4,leader,23.892906837838794
5,union,22.48744172973063
6,ukraine,18.271046405406135
7,country,18.271046405406135
8,moscow,16.86558129729797
9,speech,15.460116189189808
10,malenkov,14.054651081081644
11,mao,14.054651081081644
12,than,12.649185972973479
13,policy,12.649185972973479
14,up,11.243720864865315
15,1956,11.243720864865315
16,central,9.838255756757151
17,cuba,9.838255756757151
18,army,9.838255756757151
19,secretary,9.838255756757151
20,grain,8.432790648648986
21,missiles,8.432790648648986
22,off,8.432790648648986
23,congress,8.432790648648986
24,nuclear,8.432790648648986
25,agriculture,8.432790648648986
26,less,8.432790648648986
27,day,8.432790648648986
28,colleagues,8.432790648648986
29,corn,8.432790648648986
30,kennedy,8.432790648648986
31,peaceful,8.432790648648986
32,revolution,8.432790648648986
33,socialism,7.027325540540822
34,politburo,7.027325540540822
35,moreover,7.027325540540822
36,personal,7.027325540540822
37,power,7.027325540540822
38,material,7.027325540540822
39,farm,7.027325540540822
40,possible,7.027325540540822
41,1962,7.027325540540822
42,changes,7.027325540540822
43,coexistence,7.027325540540822
44,hungary,7.027325540540822
45,another,7.027325540540822
46,defense,7.027325540540822
47,frankland,7.027325540540822
48,come,7.027325540540822
49,use,5.6218604324326575
50,premier,5.6218604324326575
51,ouster,5.6218604324326575
52,appeared,5.6218604324326575
53,shot,5.6218604324326575
54,virgin,5.6218604324326575
55,poland,5.6218604324326575
56,delegates,5.6218604324326575
57,bomb,5.6218604324326575
58,situation,5.6218604324326575
59,crisis,5.6218604324326575
60,threatened,5.6218604324326575
61,my,5.6218604324326575
62,october,5.6218604324326575
63,socialist,5.6218604324326575
64,nations,5.6218604324326575
65,industry,5.6218604324326575
66,1957,5.6218604324326575
67,1958,5.6218604324326575
68,communists,5.6218604324326575
69,summit,5.6218604324326575
70,kaganovich,5.6218604324326575
71,countries,5.6218604324326575
72,marshal,5.6218604324326575
73,taken,5.6218604324326575
74,speaker,4.216395324324493
75,nikita,4.216395324324493
76,economy,4.216395324324493
77,eastern,4.216395324324493
78,through,4.216395324324493
79,place,4.216395324324493
80,dictator,4.216395324324493
81,outside,4.216395324324493
82,detail,4.216395324324493
83,agricultural,4.216395324324493
84,differences,4.216395324324493
85,obliged,4.216395324324493
86,obtained,4.216395324324493
87,capitalism,4.216395324324493
88,powerful,4.216395324324493
89,pledge,4.216395324324493
90,contributed,4.216395324324493
91,saw,4.216395324324493
92,state,4.216395324324493
93,russian,4.216395324324493
94,result,4.216395324324493
95,strong,4.216395324324493
96,coal,4.216395324324493
97,away,4.216395324324493
98,relieved,4.216395324324493
99,relations,4.216395324324493
100,sent,4.216395324324493
101,concentrate,4.216395324324493
102,rather,4.216395324324493
103,system,4.216395324324493
104,point,4.216395324324493
105,control,4.216395324324493
106,purges,4.216395324324493
107,assembly,4.216395324324493
108,count,4.216395324324493
109,session,4.216395324324493
110,areas,4.216395324324493
111,butter,4.216395324324493
112,shoe,4.216395324324493
113,practical,4.216395324324493
114,step,4.216395324324493
115,de,4.216395324324493
116,thousands,4.216395324324493
117,construction,4.216395324324493
118,society,4.216395324324493
119,general,4.216395324324493
120,west,4.216395324324493
121,1955,4.216395324324493
122,gomulka,4.216395324324493
123,1949,4.216395324324493
124,industrial,4.216395324324493
125,farmers,4.216395324324493
126,meat,4.216395324324493
127,measures,4.216395324324493
128,kremlin,4.216395324324493
129,europe,4.216395324324493
130,imperialism,4.216395324324493
131,marked,4.216395324324493
132,worked,4.216395324324493
133,whom,4.216395324324493
134,machinery,4.216395324324493
135,lands,4.216395324324493
136,face,4.216395324324493
137,visit,4.216395324324493
138,foreign,4.216395324324493
